Cost ID;Day;Amount;Category;Currency;Source;Delivery
2026-08-inference-0;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-0
2026-08-human_review-0;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-0
2026-08-inference-1;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-1
2026-08-human_review-1;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-1
2026-08-inference-2;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-2
2026-08-human_review-2;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-2
2026-08-inference-3;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-3
2026-08-human_review-3;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-3
2026-08-inference-4;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-4
2026-08-human_review-4;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-4
2026-08-inference-5;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-5
2026-08-human_review-5;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-5
2026-08-inference-6;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-6
2026-08-human_review-6;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-6
2026-08-inference-7;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-7
2026-08-human_review-7;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-7
2026-08-inference-8;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-8
2026-08-human_review-8;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-8
2026-08-inference-9;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-9
2026-08-human_review-9;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-9
2026-08-inference-10;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-10
2026-08-human_review-10;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-10
2026-08-inference-11;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-11
2026-08-human_review-11;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-11
2026-08-inference-12;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-12
2026-08-human_review-12;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-12
2026-08-inference-13;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-13
2026-08-human_review-13;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-13
2026-08-inference-14;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-14
2026-08-human_review-14;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-14
2026-08-inference-15;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-15
2026-08-human_review-15;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-15
2026-08-inference-16;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-16
2026-08-human_review-16;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-16
2026-08-inference-17;2026-08-15;520.00;inference;USD;Synthetic monthly ledger;delivery-17
2026-08-human_review-17;2026-08-15;200.00;human_review;USD;Synthetic monthly ledger;delivery-17
