run_id,status,accepted_quantity
delivery-0,accepted,1
delivery-1,accepted,1
delivery-2,accepted,1
delivery-3,accepted,1
delivery-4,accepted,1
delivery-5,accepted,1
delivery-6,accepted,1
delivery-7,accepted,1
delivery-8,accepted,1
delivery-9,accepted,1
delivery-10,accepted,1
delivery-11,accepted,1
delivery-12,accepted,1
delivery-13,accepted,1
delivery-14,accepted,1
delivery-15,accepted,1
delivery-16,accepted,1
delivery-17,accepted,1
delivery-18,accepted,1
delivery-19,accepted,1
delivery-20,accepted,1
delivery-21,accepted,1
delivery-22,accepted,1
delivery-23,accepted,1
delivery-24,accepted,1
delivery-25,accepted,1
delivery-26,accepted,1
delivery-27,accepted,1
delivery-28,accepted,1
delivery-29,accepted,1
delivery-30,accepted,1
delivery-31,accepted,1
delivery-32,accepted,1
delivery-33,accepted,1
delivery-34,accepted,1
delivery-35,failed,0
delivery-36,failed,0
delivery-37,failed,0
delivery-38,failed,0
delivery-39,failed,0
delivery-40,failed,0
delivery-41,failed,0
delivery-42,failed,0
delivery-43,failed,0
delivery-44,failed,0
delivery-45,failed,0
delivery-46,failed,0
delivery-47,failed,0
delivery-48,failed,0
delivery-49,failed,0
